"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
0.041953510241533,-0.105528691024453,0.305,0.387,1,"Th0","C12orf29"
0.0421177777501934,0.145146867531405,0.45,0.399,1,"Th0","GINS2"
0.0422288379988662,-0.173051200187267,0.756,0.759,1,"Th0","PPP1R15A"
0.042336283064118,-0.145173013714796,0.55,0.604,1,"Th0","AMZ2"
0.0423790924908631,0.127084832454722,0.389,0.31,1,"Th0","DGKZ"
0.0425839647543032,1.88082259809074,0.153,0.097,1,"Th0","CCL3"
0.042724830184346,0.111130334448267,0.45,0.372,1,"Th0","SRRT"
0.0429656910626274,-0.150734881823762,0.397,0.473,1,"Th0","MGST2"
0.042973348478234,0.109496249773668,1,0.993,1,"Th0","SLC25A6"
0.0431289916944324,0.102654816520981,0.282,0.207,1,"Th0","ARHGAP11B"
0.0432054677167708,-0.138612903248492,0.573,0.648,1,"Th0","RYBP"
0.0432400884892585,-0.111037491687134,0.336,0.42,1,"Th0","MIR210HG"
0.0433522437735328,-0.141863956398345,0.649,0.693,1,"Th0","TAF9"
0.0433924277527681,-0.139452246851955,0.992,0.992,1,"Th0","UBC"
0.0436017327362952,0.105859570765639,0.641,0.614,1,"Th0","MLEC"
0.0437862619971411,-0.111843192080141,0.29,0.374,1,"Th0","VDR"
0.043900045926803,-0.143625811482878,0.893,0.909,1,"Th0","GHITM"
0.0440245808237181,-0.217089775023903,0.901,0.918,1,"Th0","RPS27L"
0.0440601950637746,0.104332848020235,0.588,0.497,1,"Th0","EXOSC3"
0.0441744383341744,-0.199747555684411,0.725,0.784,1,"Th0","GARS"
0.0442019837177225,0.119012712681983,0.397,0.319,1,"Th0","AHI1"
0.0442237899567448,-0.161532944479096,0.687,0.746,1,"Th0","PMPCB"
0.044342981612308,-0.163359202583693,0.977,0.98,1,"Th0","TMEM258"
0.0443652035046894,0.114318264750508,0.489,0.403,1,"Th0","USP10"
0.044415378095868,-0.201373530816354,0.458,0.526,1,"Th0","BEND5"
0.0448456791150769,-0.134382787696039,0.542,0.572,1,"Th0","STX8"
0.0448542765964748,-0.148683875511354,0.718,0.759,1,"Th0","IAH1"
0.0451517340973983,-0.114705298213408,0.618,0.693,1,"Th0","UBE2R2"
0.0451618968774154,-0.130018688893088,0.435,0.501,1,"Th0","SCAMP2"
0.0451643461827413,0.124102219732346,0.695,0.572,1,"Th0","SP110"
0.0452096815169189,0.139022201603107,0.908,0.884,1,"Th0","PSMA4"
0.0454262722903589,0.109348195802322,0.237,0.167,1,"Th0","ANKRD28"
0.0454624875887455,0.116526412539496,0.328,0.254,1,"Th0","UBASH3A"
0.0455906808382998,-0.149232864213165,0.962,0.975,1,"Th0","EIF4A2"
0.04560999395132,-0.128429090355192,0.305,0.39,1,"Th0","CTNNAL1"
0.0458073717020044,-0.131642005977021,0.481,0.545,1,"Th0","CMC1"
0.045833584736941,0.108222175060694,0.252,0.186,1,"Th0","UHRF1"
0.0461749813702427,0.134892797780046,0.718,0.659,1,"Th0","LYPLA1"
