"","group_iTreg","group_Th17","group_Th2","group_Th0"
"MIF",0.403628634746984,0.273575163142446,-0.97325232363186,-0.254808564559198
"OCIAD2",0.47376820155489,0.189918298718831,-0.70048264286824,-0.561789846560685
"ENO2",0.467354696520799,NA,-0.524095542938641,-0.263042591356976
"LAT",0.491220580483411,-0.257032564840981,-0.103245900911546,-0.450117168406739
"RALA",0.430629985728507,0.227428902921856,-0.734074169409036,-0.492747245800719
"RHOG",0.457376716495397,-0.110618619760215,-0.523359151116564,NA
"BTG1",0.465327554128841,0.372673524556523,-1.13597968775005,-0.489940451995884
"PPFIBP1",0.293550461998934,-0.324562675685799,-0.284544598881006,0.345745644507506
"APOBEC3H",0.492680518296698,0.194587176073944,-0.730594511170299,-0.58730492450205
"MT-ND5",-0.553303389951038,NA,0.549720516436116,0.186322515501155
"SLC2A3",0.471153853088676,-0.229418696909004,-0.493422112033807,NA
"WDR54",0.358717346081193,NA,-0.323093795449849,-0.229771280869213
"BNIP3L",0.445980496384648,-0.282195975422359,-0.333173931908166,NA
"NR3C1",0.506583659859983,-0.325835341995253,-0.225293861850004,-0.155427903582057
"PHTF2",0.355487337304843,-0.24505660113683,-0.156957746363516,NA
"WSB1",0.483390177513543,-0.272342173165177,-0.333788114643587,NA
"PPP1R2",0.427127793649121,-0.107598300970346,-0.285769594382153,-0.566465982410097
"BEND5",0.459127479896601,-0.214627426410083,-0.266059688401072,-0.201373530816354
"PNRC1",0.39743167096464,-0.307400654264539,-0.302650421519941,0.145692780082331
"HERC5",-0.552311439305729,0.520575496316367,-0.318974884650625,0.366952944417768
"LST1",0.423628137784505,-0.300504382298398,-0.434785212224437,0.231156715821688
"GEM",0.312263221664565,-0.125728077201772,-0.19785010109373,-0.134902759361369
"APOD",0.797007316600389,-0.291285305030288,-0.569522097291766,-0.481710631568164
"LINC00152",0.492435635311101,NA,-0.470452912149388,-0.290878302434392
"MAL",-0.539520004746943,-0.394022051166069,0.64811589498232,0.571751886814055
"RGS10",0.371226478754928,NA,-0.370393853549212,-0.272384279952536
"INPP5F",0.406502982963277,NA,-0.398578098711796,-0.311058549765615
"AIM2",-0.272367519613637,NA,0.35887857357025,NA
"NDFIP1",0.393882899318007,NA,-0.373729939032344,-0.351428354513799
