"","group_Th17","group_Th0","group_iTreg","group_Th2"
"ETHE1",0.334678235279521,-0.374576915663197,0.169682073555086,-0.361383493431755
"CFLAR",0.331164594116613,-0.529351398602067,0.491434756117059,-0.931955787856162
"RPS4X",-0.235274228612681,0.476142489570122,-0.430225481129227,0.279606517119059
"RPL23",-0.283260977196044,0.335626213554465,-0.288624890610664,0.351533635736464
"RPSA",-0.286283283587006,0.493121075635024,-0.495191563971787,0.403773720104741
"APOBEC3G",0.350669183009017,-0.551423908110443,0.467047679168072,-0.865673121888024
"EBI3",0.250700076710238,-0.296268363960761,0.198378138116857,-0.378642960966557
"IKZF3",0.382227006668901,-0.373993130211529,NA,NA
"RPL6",-0.27002245457913,0.287584411958604,-0.296779323265161,0.414631568753568
"RPL13A",-0.245116061459568,0.475843750267475,-0.539441994710632,0.435906936619636
"HIST1H4C",-1.01376331796573,0.301011585789963,-0.31440203789533,1.08514993307283
"FUT7",0.268854749505171,-0.351065486213837,0.238342876324769,-0.417041881721551
"IRF7",0.287359067523933,-0.497312607733116,0.455645826176075,-0.765910218335239
"RP11-305L7.1",-0.14641666127506,0.223840650352443,-0.133928755924817,0.10359977881487
"BATF3",0.658251317081264,-0.697520497433008,NA,-0.130567608771186
"TMSB4X",0.311252946342806,-0.485064450191695,0.285055738319025,-0.399488778649988
"MYL12B",0.257754314970439,-0.510942889600249,0.420194194293149,-0.571302735749762
"RPLP0",-0.277224904752534,0.538551294864126,-0.553674278646305,0.400421681777409
"RPL37A",-0.214869356836177,0.263136871386501,-0.301803636214546,0.388617641832727
"STRIP2",0.251803612159446,-0.392437694403785,0.296337907519129,-0.448320456552277
"PLAC8",-0.372475098896224,0.405199858039157,-0.166281977900328,0.175807714301474
"IL1R2",0.254363558675669,-0.256031967770723,0.110450467775467,-0.26048694228864
"ARID5A",0.309638962420541,-0.480991963457725,0.360334880297148,-0.587787073070776
"CLIC3",0.279970329005055,NA,NA,NA
"RPS3",-0.246413342438077,0.504198226616812,-0.530247812001318,0.384424051057278
"IFI6",0.420263355642712,-1.20206083521423,0.905151030984575,-1.42010651497063
"RPL22",-0.205642283792266,0.409294334751293,-0.423082962065148,0.333165018560561
"H3F3B",0.239566084409783,-0.346665613417506,0.282821247146497,-0.466886976666644
"NAP1L1",-0.25648691634476,0.310893851962924,-0.286256968948001,0.350914171357297
"SLC35F3",-0.13107443874227,0.161336110860447,NA,NA
