"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group","feature"
0.0153171436184015,0.146508019407967,0.676,0.594,1,"Th2","PTPN2"
0.0153406426219753,0.112235149397784,0.352,0.26,1,"Th2","CDCA2"
0.0153634039010853,-0.115806427763463,0.2,0.287,1,"Th2","NRM"
0.0153692369111838,-0.164317152298722,0.614,0.64,1,"Th2","RARS"
0.0154452233099017,0.115422013528672,1,0.999,1,"Th2","EEF1D"
0.0154481548205218,0.120456937058711,0.766,0.63,1,"Th2","MBP"
0.0154656382864427,-0.15221226302698,0.434,0.517,1,"Th2","MED19"
0.0154769338853315,0.116080109832462,0.531,0.414,1,"Th2","SPTBN1"
0.01554821865987,-0.118770203272051,0.269,0.359,1,"Th2","PAPSS1"
0.0155872183944521,-0.170694875400801,0.338,0.407,1,"Th2","SMARCA2"
